ID,MementoCount
4, 4
6, 2
7, 2
8, 38
13, 9
14, 6
15, 3
19, 1
20, 1
24, 2
29, 1
31, 1
32, 11
35, 1
36, 26
38, 6
40, 1
41, 3
42, 6
55, 5
60, 4
62, 50
64, 12
65, 1
75, 1
77, 4
82, 3
84, 1
90, 10
91, 1
94, 2
100, 8
103, 8
106, 10
112, 5
115, 1
120, 4
125, 17
127, 8
128, 1
129, 46
137, 101
139, 4
142, 6
150, 1
158, 3
159, 16
168, 6
169, 3
176, 5
178, 6
182, 1
185, 2
189, 6
196, 40
209, 26229
213, 6
222, 42
225, 23
231, 3
237, 1
240, 5698
251, 6
255, 1
264, 1
268, 8
280, 2
281, 1
292, 4512
293, 2
294, 44
297, 10
298, 25
300, 1
301, 1
309, 4
310, 8
314, 1
317, 4
319, 6
325, 1
328, 26
332, 7
334, 1
338, 1
345, 47
353, 556
360, 6
361, 2
364, 9
371, 141
380, 1
383, 1
386, 99
394, 1
399, 1
402, 810
403, 3
408, 2
409, 55
411, 8
415, 12
426, 6
432, 5
435, 3
442, 1
443, 22
444, 6
448, 3
449, 3
451, 1
453, 1
456, 23
463, 6
464, 2
467, 5
469, 4
470, 1
471, 7
475, 29
482, 6
487, 5
488, 1
490, 9
494, 4
496, 121
503, 93
504, 3
505, 4
507, 2
511, 1
514, 2
516, 212
522, 1
523, 1
525, 33
530, 7
537, 1
542, 3
543, 20
544, 7
550, 2
552, 47
563, 1
565, 1
571, 42
574, 6
576, 6
579, 12
589, 3
592, 90
600, 99
610, 5
613, 6
620, 14
622, 1
623, 12
629, 6
631, 1
633, 141
634, 1
635, 8
637, 11
638, 3
645, 1
646, 3
654, 1
657, 7
663, 42
664, 3
670, 4
672, 3
675, 1
681, 6
684, 76
693, 3
694, 8
696, 1
698, 1
699, 25
701, 2
704, 42
706, 88
707, 1
713, 1
715, 74
722, 1
727, 3
738, 3
741, 3
750, 2
756, 6
758, 21709
761, 7
763, 41
764, 1
765, 2
768, 48
771, 12
774, 50
780, 1
783, 1
786, 1
787, 1
789, 1
790, 30
796, 1
800, 5
805, 165
808, 17
812, 4
814, 42
817, 1
828, 2
830, 1
832, 1
834, 3
841, 20
844, 73
854, 54
856, 5
860, 14
862, 15
864, 4
870, 14
876, 3629
879, 2
880, 222
884, 2
885, 2
888, 3
906, 37
909, 10144
910, 1
911, 1
916, 2
921, 3
930, 58
933, 7952
934, 210
941, 3
944, 4
947, 2
950, 4
952, 22
958, 55
959, 1
969, 1
971, 1
972, 15
974, 14
976, 3
978, 8
981, 1
982, 10
983, 4
987, 2
992, 2
996, 7
997, 25
998, 1